"","City_code","lon","lat","num_tweets"
"196","ASHWAUBENON WI",-88.07009888,44.48205185,5
"197","ASKOV MN",-92.78282928,46.18641281,4
"198","ASPEN CO",-106.81859589,39.19105911,92
"199","ASPERMONT TX",-100.22798157,33.13380051,2
"200","ASTORIA OR",-123.83391571,46.18756866,47
"201","ATASCADERO CA",-120.64879608,35.47494888,12
"202","ATCHISON KS",-95.12229919,39.56309128,5
"203","ATHENS AL",-86.97190857,34.80292892,14
"204","ATHENS IL",-89.72410583,39.96085739,11
"205","ATHENS OH",-82.10113525,39.32934952,268
"206","ATHENS PA",-76.52072906,41.9661293,77
"207","ATHENS TN",-84.59921265,35.44878387,2
"208","ATHENS TX",-95.85599518,32.20513916,9
"209","ATHERTON CA",-122.20018005,37.46142578,1
"210","ATHOL MA",-72.22972107,42.59287643,1
"211","ATKINS AR",-92.93680573,35.24659729,1
"212","ATLANTA GA",-84.38757324,33.74927521,30613
"213","ATLANTA IN",-86.02610016,40.21550751,4
"214","ATLANTA LA",-92.73879242,31.8054924,1
"215","ATLANTA TX",-94.16465759,33.11408615,1
"216","ATLANTIC BEACH FL",-81.39808655,30.33498573,26
"217","ATLANTIC CITY NJ",-74.42202759,39.36457062,226
"218","ATLANTIC HIGHLANDS NJ",-74.03326416,40.40827942,2
"219","ATOKA OK",-96.12915039,34.38588333,2
"220","ATOKA TN",-89.77851868,35.44120789,2
"221","ATTALLA AL",-86.08874512,34.02215958,1
"222","ATTICA IN",-87.24867249,40.29444122,3
"223","ATTLEBORO MA",-71.28439331,41.94469833,18
"224","ATWATER CA",-120.61401367,37.34663773,7
"225","AUBREY TX",-96.98683167,33.30471039,2
"226","AUBURN AL",-85.48087311,32.61021423,244
"227","AUBURN CA",-121.07940674,38.89623642,1374
"228","AUBURN GA",-83.82753754,34.01380157,2
"229","AUBURN IL",-89.74681854,39.59179688,5
"230","AUBURN MA",-71.84958649,42.18192291,3
"231","AUBURN ME",-70.23028564,44.09794235,17
"232","AUBURN MI",-84.06974792,43.60359955,3
"233","AUBURN NY",-76.56542969,42.93203735,20
"234","AUBURN WA",-122.23046875,47.30677795,84
"235","AUBURNDALE FL",-81.78826904,28.06580925,1
"236","AUDUBON NJ",-75.07247162,39.89139175,1
"237","AUGUSTA KS",-96.97721863,37.68652725,28
"238","AUGUSTA ME",-69.7781601,44.31053925,19
"239","AURORA CO",-104.8693161,39.73983765,466
"240","AURORA IL",-88.32048798,41.76070023,235
"241","AURORA NC",-76.78784943,35.30578995,2
"242","AURORA NY",-76.70005035,42.75400162,2
"243","AUSTELL GA",-84.63414001,33.81290054,79
"244","AUSTIN IN",-85.80773163,38.75847626,1
"245","AUSTIN MN",-92.97491455,43.6665535,16
"246","AUSTIN TX",-97.74386597,30.26748466,17442
"247","AUSTINTOWN OH",-80.76424408,41.10162354,114
"248","AUXVASSE MO",-91.89766693,39.01833725,1
"249","AVA MO",-92.6605835,36.95189667,4
"250","AVALON CA",-118.32977295,33.34281921,1
"251","AVENAL CA",-120.1306839,36.00422668,1
"252","AVIS PA",-77.31352997,41.1848526,19
"253","AVOCA NY",-77.42100525,42.40945435,3
"254","AVON CO",-106.52374268,39.63142395,4
"255","AVON LAKE OH",-82.02809906,41.50548935,9
"256","AVON OH",-82.0351944,41.45196533,1
"257","AVON PARK FL",-81.50580597,27.59641075,1
"258","AVONDALE AZ",-112.35139465,33.43592072,91
"259","AVONDALE PA",-75.78266907,39.82365036,1
"260","AVONMORE PA",-79.46125031,40.52923965,1
"261","AYER MA",-71.57945251,42.55764771,1
"262","AZLE TX",-97.54621887,32.89556885,43
"263","AZTEC NM",-107.99383545,36.82159805,2
"264","AZUSA CA",-117.90988159,34.13357544,40
"265","BABYLON NY",-73.3247757,40.696064,2
"266","BAINBRIDGE GA",-84.57505798,30.90430069,4
"267","BAKER LA",-91.16854858,30.58853531,1
"268","BAKERSFIELD CA",-119.02063751,35.37326813,554
"269","BAKERSVILLE NC",-82.15859985,36.01586914,2
"270","BALCH SPRINGS TX",-96.62306213,32.72889328,2
"271","BALDWIN CITY KS",-95.18656921,38.77522659,25
"272","BALDWIN IL",-89.84280396,38.1832962,2
"273","BALDWIN NY",-73.60838318,40.65660858,4
"274","BALDWIN PARK CA",-117.96247864,34.08519363,14
"275","BALDWINSVILLE NY",-76.33219147,43.15886307,5
"276","BALDWYN MS",-88.63553619,34.5099411,24
"277","BALLSTON SPA NY",-73.84790039,43.00103378,38
"278","BALLWIN MO",-90.54669189,38.5951004,291
"279","BALLY PA",-75.58628845,40.40263367,1
"280","BALTIMORE MD",-76.6115799,39.29075623,9323
"281","BAMBERG SC",-81.03459167,33.2973938,1
"282","BANDERA TX",-99.07427216,29.72691536,2
"283","BANDON OR",-124.41056061,43.11890793,7
"284","BANGOR ME",-68.77653503,44.80109406,172
"285","BANGOR PA",-75.20609283,40.86587524,8
"286","BANKS OR",-123.11686707,45.61822128,1
"287","BANNING CA",-116.87874603,33.92569351,14
"288","BAR HARBOR ME",-68.20309448,44.38752747,54
"289","BARABOO WI",-89.74446869,43.47089767,21
"290","BARBERTON OH",-81.60507965,41.0127182,2
"291","BARBOURVILLE KY",-83.88861084,36.86665726,8
"292","BARGERSVILLE IN",-86.16780853,39.52098083,3
"293","BARLOW KY",-89.04716492,37.05197525,1
"294","BARNESVILLE GA",-84.15583038,33.05487442,7
"295","BARNWELL SC",-81.35834503,33.24495316,2
"296","BARRE MA",-72.09545898,42.40907288,1
"297","BARRE VT",-72.50119781,44.19706345,4
"298","BARRINGTON IL",-88.13623047,42.15398788,2
"299","BARROW AK",-156.7964325,71.29006195,2
"300","BARSTOW CA",-117.02451324,34.89870071,4
"301","BARTLESVILLE OK",-95.98135376,36.74737549,7
"302","BARTLETT IL",-88.18564606,41.9950676,20
"303","BARTLETT KS",-95.21155548,37.05488205,1
"304","BARTLETT TN",-89.87441254,35.20460892,27
"305","BARTONVILLE IL",-89.65235138,40.6502037,288
"306","BARTOW FL",-81.84252167,27.89712715,3
"307","BASALT CO",-107.03366852,39.36895752,2
"308","BASSFIELD MS",-89.73988342,31.49684715,2
