"location","lon","lat","counts","positive.counts","negative.counts","neutral.counts","totalpopulation"
"ARKPORT NY",-77.69580841,42.39464188,1,0,1,0,760
"ARLINGTON HEIGHTS IL",-87.98104858,42.08821106,224,61,66,97,75802
"ARLINGTON NE",-96.35142517,41.45244598,1,0,0,1,1205
"ARLINGTON TN",-89.66139984,35.29637527,20,6,7,7,11635
"ARLINGTON TX",-97.10882568,32.73590469,1174,304,315,555,379716
"ARLINGTON WA",-122.1277237,48.19829941,15,5,2,8,18578
"ARNAUDVILLE LA",-91.93197632,30.39797974,2,0,0,2,1267
"ARNOLD MO",-90.37690735,38.43906784,38,4,6,28,21123
"ARROYO GRANDE CA",-120.5928879,35.11868668,21,2,8,11,17720
"ARTESIA CA",-118.0846176,33.86582184,6,1,1,4,16785
"ARTESIA NM",-104.4046478,32.84522247,2,2,0,0,11641
"ARVADA CO",-105.0886612,39.8028183,30,12,7,11,111658
"ARVIN CA",-118.8308792,35.20893478,2,1,1,0,20328
"ASBURY PARK NJ",-74.01100159,40.22047806,82,21,21,40,15945
"ASH GROVE MO",-93.58557892,37.31526566,3,1,1,1,1567
"ASHBURN GA",-83.65306091,31.70657539,5,1,1,3,3875
"ASHEBORO NC",-79.81291199,35.70822525,24,4,8,12,25897
"ASHEVILLE NC",-82.55367279,35.60134888,1228,359,319,550,86789
"ASHLAND AL",-85.83626556,33.27382278,21,8,10,3,2667
"ASHLAND IL",-90.00800323,39.88794327,6,0,3,3,1318
"ASHLAND KY",-82.63764954,38.47874069,80,24,28,28,21391
"ASHLAND MO",-92.25737762,38.77433395,29,4,4,21,3828
"ASHLAND OH",-82.31797028,40.86874771,18,5,5,8,20392
"ASHLAND OR",-122.7111359,42.19425583,367,104,109,154,20556
"ASHLAND VA",-77.47959137,37.75937653,189,54,52,83,7298
"ASHLAND WI",-90.88419342,46.59241104,33,14,10,9,8116
"ASHLEY IN",-85.06525421,41.52718735,2,0,0,2,1080
"ASHTABULA OH",-80.78971863,41.86506653,41,7,12,22,18663
"ASHWAUBENON WI",-88.07009888,44.48205185,5,1,2,2,17082
"ASKOV MN",-92.78282928,46.18641281,4,0,0,4,370
"ASPEN CO",-106.8185959,39.19105911,92,24,29,39,6740
"ASPERMONT TX",-100.2279816,33.13380051,2,1,0,1,996
"ASTORIA OR",-123.8339157,46.18756866,47,10,17,20,9537
"ATASCADERO CA",-120.6487961,35.47494888,12,1,6,5,29084
"ATCHISON KS",-95.12229919,39.56309128,5,1,2,2,10858
"ATHENS AL",-86.97190857,34.80292892,14,3,4,7,23938
"ATHENS IL",-89.72410583,39.96085739,11,2,5,4,1776
"ATHENS OH",-82.10113525,39.32934952,268,69,62,137,24220
"ATHENS PA",-76.52072906,41.9661293,77,17,24,36,3326
"ATHENS TN",-84.59921265,35.44878387,2,0,1,1,13634
"ATHENS TX",-95.85599518,32.20513916,9,6,1,2,12777
"ATHERTON CA",-122.2001801,37.46142578,1,1,0,0,7081
"ATKINS AR",-92.93680573,35.24659729,1,0,0,1,3042
"ATLANTA GA",-84.38757324,33.74927521,30613,8386,8428,13799,448901
"ATLANTA IN",-86.02610016,40.21550751,4,1,2,1,702
"ATLANTA LA",-92.73879242,31.8054924,1,1,0,0,99
"ATLANTA TX",-94.16465759,33.11408615,1,0,0,1,5635
"ATLANTIC BEACH FL",-81.39808655,30.33498573,26,7,4,15,12961
