"yday","location","time","location_total.counts","positive.counts","negative.counts","neutral.counts","counts","lon","lat","totalpopulation"
222,"BAY VILLAGE OH",2,1,1,0,0,1,-81.92155457,41.48464966,15469
222,"BAYTOWN TX",2,6,3,3,0,6,-94.97782135,29.73608589,74897
222,"BEAUMONT TX",2,2,0,0,2,2,-94.10238647,30.08622551,117676
222,"BEAVERTON OR",2,13,4,5,4,13,-122.8055344,45.48670197,93919
222,"BEDFORD IN",2,1,0,1,0,1,-86.48697662,38.86146164,13371
222,"BELL CA",2,3,0,2,1,3,-118.1889572,33.97753906,35998
222,"BELLEFONTAINE OH",2,1,0,1,0,1,-83.75959015,40.36141205,13279
222,"BELLEVILLE IL",2,4,1,1,2,4,-89.98438263,38.52002716,42898
222,"BELLEVUE NE",2,1,0,1,0,1,-95.89156342,41.13648224,54067
222,"BELLINGHAM WA",2,2,0,1,1,2,-122.4727402,48.76121521,82944
222,"BELVIDERE IL",2,1,0,1,0,1,-88.84451294,42.26396942,25741
222,"BEMIDJI MN",2,1,0,1,0,1,-94.88105774,47.47352982,14417
222,"BEND OR",2,4,0,3,1,4,-121.3171387,44.0577774,81780
222,"BENICIA CA",2,1,0,0,1,1,-122.1603012,38.04900742,27657
222,"BENTON HARBOR MI",2,1,0,1,0,1,-86.45429993,42.11692429,10014
222,"BENTONVILLE AR",2,1,1,0,0,1,-94.20933533,36.3728447,40368
222,"BEREA KY",2,2,0,1,1,2,-84.29612732,37.5687027,14454
222,"BERKELEY CA",2,51,14,18,19,51,-122.2752533,37.87145615,117384
222,"BERKELEY MO",2,4,1,2,1,4,-90.33169556,38.75470734,9083
222,"BESSEMER AL",2,2,0,1,1,2,-86.95465851,33.40222549,27043
222,"BETHLEHEM PA",2,2,0,1,1,2,-75.36949921,40.62598801,75004
222,"BEVERLY HILLS CA",2,13,1,5,7,13,-118.4019775,34.07383347,34663
222,"BILOXI MS",2,2,1,1,0,2,-88.89369202,30.40021133,44825
222,"BINGHAMTON NY",2,2,0,2,0,2,-75.91755676,42.0986557,46495
222,"BIRMINGHAM AL",2,36,11,19,6,36,-86.80226898,33.52098846,212211
222,"BLACKSBURG VA",2,6,0,5,1,6,-80.41369629,37.22999573,43530
222,"BLADENSBURG MD",2,1,0,1,0,1,-76.9335556,38.93954849,9461
222,"BLOOMINGTON IL",2,1,0,0,1,1,-88.99375916,40.48418045,78206
222,"BLOOMINGTON IN",2,2,0,1,1,2,-86.53382874,39.16920471,82813
222,"BLOOMINGTON MN",2,2,0,2,0,2,-93.29154205,44.82648849,85826
222,"BLUFF CITY TN",2,2,0,0,2,2,-82.26051331,36.47451019,1863
222,"BOCA RATON FL",2,3,1,0,2,3,-80.08280182,26.35960197,89793
222,"BOLINGBROOK IL",2,1,0,0,1,1,-88.06878662,41.69866562,74371
222,"BOSTON MA",2,148,32,60,56,148,-71.05905151,42.35883713,650281
222,"BOULDER CO",2,2,1,0,1,2,-105.2715302,40.01483917,103919
222,"BOWIE MD",2,17,5,7,5,17,-76.77848816,39.00718689,56885
222,"BRADLEY IL",2,1,0,1,0,1,-87.86099243,41.14196014,15763
222,"BRANDON MS",2,1,1,0,0,1,-89.98616028,32.27327728,22897
222,"BRIDGEPORT CT",2,9,1,2,6,9,-73.2040863,41.16743088,147340
222,"BRIGHTON MI",2,1,0,1,0,1,-83.78043365,42.52965546,7555
222,"BRISTOL CT",2,16,3,9,4,16,-72.94853973,41.67193222,60554
222,"BROCKTON MA",2,4,2,1,1,4,-71.01748657,42.08340454,94532
222,"BROOKINGS OR",2,2,2,0,0,2,-124.2865219,42.05229187,6376
222,"BROOKLYN PARK MN",2,3,2,1,0,3,-93.35662079,45.09407043,78195
222,"BROOMFIELD CO",2,2,0,1,1,2,-105.0877686,39.92069244,60699
222,"BRYAN TX",2,16,14,2,0,16,-96.3704071,30.67456818,79411
222,"BUENA PARK CA",2,1,0,1,0,1,-117.999939,33.86748123,82683
222,"BUFFALO NY",2,18,3,11,4,18,-78.87787628,42.8867836,259517
222,"BURBANK CA",2,1,0,1,0,1,-118.3104782,34.18065262,104725
222,"BURLINGAME CA",2,1,0,1,0,1,-122.3685074,37.58408737,29941
222,"BURLINGTON VT",2,5,1,2,2,5,-73.20542908,44.47687531,42570
222,"BURNSVILLE NC",2,1,0,1,0,1,-82.30067444,35.91744614,1653
222,"BUTLER PA",2,3,0,3,0,3,-79.89468384,40.86117172,13517
222,"BYRON WY",2,2,0,2,0,2,-108.5082169,44.79620361,620
222,"CALHOUN GA",2,1,0,1,0,1,-84.95102692,34.50297165,15948
222,"CAMBRIDGE MA",2,16,3,11,2,16,-71.10369873,42.36532593,107916
222,"CAMDEN AR",2,1,0,1,0,1,-92.83481598,33.58491898,11683
222,"CAMDEN NJ",2,11,1,5,5,11,-75.118927,39.92608261,76904
222,"CAMDEN SC",2,1,0,0,1,1,-80.60647583,34.24704742,6982
222,"CANTON OH",2,1,0,1,0,1,-81.37824249,40.79906845,72463
222,"CAPE GIRARDEAU MO",2,1,0,1,0,1,-89.51838684,37.30613327,38959
222,"CAPITOL HEIGHTS MD",2,3,0,2,1,3,-76.91506195,38.88552475,4482
222,"CARBONDALE IL",2,2,0,1,1,2,-89.2168808,37.7274704,26192
222,"CARLISLE PA",2,1,0,0,1,1,-77.18848419,40.20173264,18945
222,"CARMEL IN",2,1,0,1,0,1,-86.12607574,39.97961426,85367
222,"CARRBORO NC",2,2,1,0,1,2,-79.07286835,35.91213989,20639
222,"CARROLLTON GA",2,2,0,2,0,2,-85.07631683,33.58019638,25515
222,"CARROLLTON TX",2,1,1,0,0,1,-96.89080811,32.95380783,127279
222,"CARY NC",2,9,0,4,5,9,-78.78055573,35.79200745,151186
222,"CASA GRANDE AZ",2,4,1,1,2,4,-111.7590179,32.87965393,49796
222,"CAYCE SC",2,1,1,0,0,1,-81.05870819,33.97318649,13554
222,"CENTREVILLE IL",2,1,1,0,0,1,-90.12549591,38.58330154,5142
222,"CHAMPAIGN IL",2,4,1,2,1,4,-88.24346161,40.11659622,84008
222,"CHANDLER AZ",2,1,0,1,0,1,-111.8428345,33.3062439,250202
222,"CHANUTE KS",2,1,0,1,0,1,-95.45789337,37.67946243,9217
222,"CHAPEL HILL NC",2,45,10,22,13,45,-79.05697632,35.91110611,58766
222,"CHARLESTON SC",2,28,9,12,7,28,-79.93032074,32.77671814,127694
222,"CHARLOTTE NC",2,220,42,95,83,220,-80.84257507,35.22746277,792137
222,"CHARLOTTESVILLE VA",2,25,7,12,6,25,-78.49123383,38.03798676,45084
222,"CHATTANOOGA TN",2,10,0,7,3,10,-85.30583954,35.04058456,174483
222,"CHESAPEAKE VA",2,36,14,11,11,36,-76.27422333,36.81948853,230601
222,"CHESTER PA",2,1,0,1,0,1,-75.35475159,39.84973145,34016
222,"CHESTERFIELD MO",2,1,0,0,1,1,-90.5772934,38.6631279,47706
222,"CHEVY CHASE MD",2,8,3,1,4,8,-77.07595825,38.97138977,2927
222,"CHICAGO IL",2,478,92,216,170,478,-87.6503067,41.85000992,2717534
222,"CHICO CA",2,102,19,51,32,102,-121.839447,39.72846222,88455
222,"CHULA VISTA CA",2,3,1,0,2,3,-117.0857468,32.64037704,257296
222,"CINCINNATI OH",2,57,14,28,15,57,-84.51939392,39.10413742,297397
222,"CITRUS HEIGHTS CA",2,1,1,0,0,1,-121.2829208,38.70672607,85408
222,"CLARKSDALE MS",2,1,0,1,0,1,-90.57128143,34.20030212,17314
222,"CLARKSVILLE TN",2,5,0,1,4,5,-87.35944366,36.52993011,143618
222,"CLAYTON MO",2,2,1,1,0,2,-90.32382965,38.64260101,15900
222,"CLEAR LAKE SHORES TX",2,9,2,4,3,9,-95.03226471,29.54773712,1235
222,"CLEARFIELD UT",2,1,0,0,1,1,-112.0273361,41.11647415,30299
222,"CLEMSON SC",2,6,3,2,1,6,-82.83683014,34.68382645,14664
