"Code","State","State_id","City","City2","City3","Place_type","City_state","City_code","avgCensus2010pop","avgPopestimate2015","rownum","id","id2","geography","totalpopulation","malepop","femalepop","medianage","per_male","per_female","total_area","urban","rural","per_urban","per_rural","house_total_population","house_total_income","total_population_race","white_population","black_population","per_white","per_black","total_pop_over16","employ_pop_over16","per_employ_over16","total_population_lang","english_only","english_other","per_english_only","per_english_other","mean_income_households","total_population_individuals","house_median_income","med_per_urban","med_per_rural","med_per_employ_over16","city","state","location","lon","lat","count","count_rate","mean_income_per_capita"
"CA","California",6,"San Juan Bautista city","San Juan Bautista","San Juan Bautista","city","San Juan Bautista, California","San Juan Bautista, CA",1862,1939,3133,"1600000US0668014",668014,"San Juan Bautista city, California",2250,1262,988,40.9,56.09,43.91,1862,0,1862,0,100,852,852,2250,1922,0,85.42,0,1760,1102,62.6,2088,1526,562,73.1,26.9,75508,2250,58446,99.95,0.05,63.8,"SAN JUAN BAUTISTA","CA","SAN JUAN BAUTISTA CA",-121.5400391,36.84537506,1,0.444444444,28649
"CA","California",6,"San Juan Capistrano city","San Juan Capistrano","San Juan Capistrano","city","San Juan Capistrano, California","San Juan Capistrano, CA",34593,36061,3134,"1600000US0668028",668028,"San Juan Capistrano city, California",35897,17493,18404,42.2,48.73,51.27,34593,34593,0,100,0,11838,11838,35897,25441,168,70.87,0.47,28504,17757,62.3,33622,20652,12970,61.4,38.6,116799,35897,72472,99.95,0.05,63.8,"SAN JUAN CAPISTRANO","CA","SAN JUAN CAPISTRANO CA",-117.6644516,33.50197601,7,0.195002368,39259
"CA","California",6,"San Leandro city","San Leandro","San Leandro","city","San Leandro, California","San Leandro, CA",84950,90663,3135,"1600000US0668084",668084,"San Leandro city, California",88329,43579,44750,40.5,49.34,50.66,84950,84950,0,100,0,31363,31363,88329,36282,10597,41.08,12,72051,48514,67.3,83643,41540,42103,49.7,50.3,79966,88329,62761,99.95,0.05,63.8,"SAN LEANDRO","CA","SAN LEANDRO CA",-122.155983,37.70180511,141,1.596304724,29655
"CA","California",6,"San Luis Obispo city","San Luis Obispo","San Luis Obispo","city","San Luis Obispo, California","San Luis Obispo, CA",45119,47115,3138,"1600000US0668154",668154,"San Luis Obispo city, California",46337,24611,21726,25.4,53.11,46.89,45119,45013,106,99.77,0.23,18044,18044,46337,39310,1061,84.84,2.29,41191,24923,60.5,44782,36930,7852,82.5,17.5,67268,46337,46058,99.95,0.05,63.8,"SAN LUIS OBISPO","CA","SAN LUIS OBISPO CA",-120.6622849,35.28281021,199,4.294624166,27416
"CA","California",6,"San Marcos city","San Marcos","San Marcos","city","San Marcos, California","San Marcos, CA",83781,93537,3139,"1600000US0668196",668196,"San Marcos city, California",89578,43599,45979,34.9,48.67,51.33,83781,83480,301,99.64,0.36,28738,28738,89578,65843,2306,73.5,2.57,68852,42118,61.2,83400,52764,30636,63.3,36.7,76791,89578,57822,99.95,0.05,63.8,"SAN MARCOS","CA","SAN MARCOS CA",-117.1673966,33.14345551,100,1.116345531,25807
"CA","California",6,"San Mateo city","San Mateo","San Mateo","city","San Mateo, California","San Mateo, CA",97207,103754,3142,"1600000US0668252",668252,"San Mateo city, California",101335,49988,51347,39.1,49.33,50.67,97207,97207,0,100,0,37861,37861,101335,63587,2204,62.75,2.17,82456,58179,70.6,94563,51749,42814,54.7,45.3,121883,101335,90208,99.95,0.05,63.8,"SAN MATEO","CA","SAN MATEO CA",-122.3270264,37.56283569,184,1.815759609,46895
"CA","California",6,"San Pablo city","San Pablo","San Pablo","city","San Pablo, California","San Pablo, CA",29139,30784,3145,"1600000US0668294",668294,"San Pablo city, California",29777,14928,14849,32.6,50.13,49.87,29139,29139,0,100,0,9026,9026,29777,15508,4477,52.08,15.04,23083,14737,63.8,27768,9073,18695,32.7,67.3,53245,29777,43868,99.95,0.05,63.8,"SAN PABLO","CA","SAN PABLO CA",-122.3469696,37.96184921,7,0.235080767,17105
"CA","California",6,"San Rafael city","San Rafael","San Rafael","city","San Rafael, California","San Rafael, CA",57713,59252,3147,"1600000US0668364",668364,"San Rafael city, California",58819,29173,29646,41.6,49.6,50.4,57713,57701,12,99.98,0.02,22826,22826,58819,40142,1848,68.25,3.14,47823,31746,66.4,55009,35266,19743,64.1,35.9,119274,58819,77294,99.95,0.05,63.8,"SAN RAFAEL","CA","SAN RAFAEL CA",-122.5331726,37.97325134,101,1.717132219,47901
"CA","California",6,"San Ramon city","San Ramon","San Ramon","city","San Ramon, California","San Ramon, CA",72148,75260,3148,"1600000US0668378",668378,"San Ramon city, California",74571,37104,37467,37.6,49.76,50.24,72148,72077,71,99.9,0.1,25265,25265,74571,35498,1632,47.6,2.19,54521,38831,71.2,69924,40445,29479,57.8,42.2,152660,74571,128916,99.95,0.05,63.8,"SAN RAMON","CA","SAN RAMON CA",-121.9799347,37.77985764,93,1.247133604,52293
"CA","California",6,"Sanger city","Sanger","Sanger","city","Sanger, California","Sanger, CA",24270,24870,3128,"1600000US0667056",667056,"Sanger city, California",24700,11971,12729,31.9,48.47,51.53,24270,24256,14,99.94,0.06,6920,6920,24700,16374,136,66.29,0.55,17728,11459,64.6,22377,8898,13479,39.8,60.2,57530,24700,43099,99.95,0.05,63.8,"SANGER","CA","SANGER CA",-119.5580063,36.70794296,21,0.850202429,16864
